iter	Passed	Remaining
923	9913	815
924	9924	804
925	9932	793
926	9940	782
927	9948	771
928	9957	761
929	9966	750
930	9975	739
931	9986	728
932	9997	717
933	10018	707
934	10047	698
935	10058	687
936	10067	676
937	10075	665
938	10088	655
939	10105	645
940	10124	634
941	10146	624
942	10169	614
943	10182	604
944	10191	593
945	10200	582
946	10210	571
947	10219	560
948	10230	549
949	10241	539
950	10248	528
951	10260	517
952	10268	506
953	10278	495
954	10287	484
955	10296	473
956	10304	463
957	10314	452
958	10322	441
959	10330	430
960	10340	419
961	10347	408
962	10358	397
963	10373	387
964	10395	377
965	10417	366
966	10429	355
967	10441	345
968	10451	334
969	10461	323
970	10470	312
971	10478	301
972	10486	290
973	10494	280
974	10506	269
975	10518	258
976	10528	247
977	10538	237
978	10552	226
979	10564	215
980	10583	204
981	10603	194
982	10611	183
983	10620	172
984	10629	161
985	10638	151
986	10646	140
987	10658	129
988	10666	118
989	10675	107
990	10683	97
991	10692	86
992	10701	75
993	10709	64
994	10718	53
995	10726	43
996	10735	32
997	10744	21
998	10754	10
999	10764	0
